,home,date,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,completed_passings,total_passings,corners,percentage_possession,fouls,yellow_cards,red_cards,rank_h,rank_a
0,Inter,2021-08-21,V,4.0,Genoa,7.0,4.0,0.0,0.0,198.0,200.0,6.0,18.0,11.0,-1.0,0.0,7.0,1.0
1,Torino,2021-08-21,P,-1.0,Atalanta,14.0,5.0,0.0,0.0,-24.0,-49.0,4.0,-6.0,3.0,0.0,0.0,2.0,3.0
2,Empoli,2021-08-21,P,-2.0,Lazio,10.0,1.0,-1.0,-1.0,-107.0,-93.0,2.0,-8.0,5.0,1.0,0.0,0.0,8.0
3,Hellas Verona,2021-08-21,P,-1.0,Sassuolo,-4.0,-4.0,1.0,1.0,-199.0,-179.0,3.0,-20.0,-5.0,1.0,1.0,1.0,6.0
4,Bologna,2021-08-22,V,1.0,Salernitana,9.0,4.0,-1.0,-1.0,355.0,355.0,5.0,44.0,-3.0,3.0,1.0,8.0,0.0
5,Udinese,2021-08-22,N,0.0,Juventus,1.0,2.0,1.0,1.0,-117.0,-118.0,0.0,-12.0,-2.0,-2.0,0.0,1.0,7.0
6,Napoli,2021-08-22,V,2.0,Venezia,3.0,-1.0,1.0,2.0,125.0,132.0,0.0,12.0,-19.0,-6.0,1.0,8.0,0.0
7,Roma,2021-08-22,V,2.0,Fiorentina,0.0,-2.0,0.0,0.0,-164.0,-157.0,0.0,-16.0,-1.0,1.0,0.0,5.0,1.0
8,Sampdoria,2021-08-23,P,-1.0,Milan,5.0,-1.0,0.0,0.0,-15.0,-10.0,5.0,-2.0,5.0,2.0,0.0,2.0,4.0
9,Cagliari,2021-08-23,N,0.0,Spezia,7.0,2.0,1.0,1.0,134.0,163.0,7.0,18.0,-1.0,-1.0,0.0,6.0,1.0
10,Udinese,2021-08-27,V,2.0,Venezia,3.0,1.0,1.0,1.0,-32.0,-21.0,1.0,0.0,-9.0,-6.0,0.0,8.0,0.0
11,Hellas Verona,2021-08-27,P,-2.0,Inter,-3.0,-5.0,1.0,1.0,-281.0,-269.0,-1.0,-19.0,-8.0,2.0,1.0,0.0,7.0
12,Fiorentina,2021-08-28,V,0.0,Torino,-10.0,1.0,0.0,0.0,194.0,151.0,-1.0,11.0,-3.0,0.0,1.0,4.0,1.0
13,Lazio,2021-08-28,V,1.0,Spezia,-5.0,-1.0,1.0,1.0,242.0,233.0,-1.0,13.0,-8.0,-2.0,0.0,8.0,0.0
14,Atalanta,2021-08-28,N,-1.0,Bologna,-11.0,-5.0,0.0,0.0,-157.0,-126.0,-8.0,-19.0,3.0,-4.0,-2.0,6.0,1.0
15,Juventus,2021-08-28,P,1.0,Empoli,-7.0,-1.0,0.0,0.0,70.0,55.0,-2.0,10.0,1.0,1.0,0.0,8.0,0.0
16,Salernitana,2021-08-29,P,-1.0,Roma,-2.0,-3.0,1.0,1.0,-204.0,-174.0,0.0,-14.0,1.0,0.0,0.0,0.0,8.0
17,Milan,2021-08-29,V,-1.0,Cagliari,-8.0,-2.0,-1.0,-1.0,-60.0,-77.0,-8.0,-8.0,-2.0,-1.0,0.0,6.0,0.0
18,Sassuolo,2021-08-29,N,3.0,Sampdoria,2.0,4.0,0.0,0.0,147.0,108.0,-4.0,11.0,-5.0,-1.0,0.0,5.0,1.0
19,Genoa,2021-08-29,P,-2.0,Napoli,-1.0,1.0,-1.0,-2.0,-155.0,-156.0,0.0,-15.0,3.0,1.0,-1.0,1.0,5.0
20,Empoli,2021-09-11,P,1.0,Venezia,5.0,0.0,0.0,0.0,-83.0,-58.5,5.0,-3.5,-4.5,-2.5,0.0,2.0,0.0
21,Napoli,2021-09-11,V,1.0,Juventus,-2.5,1.5,0.5,1.0,97.5,98.0,-2.0,3.5,-4.5,-0.5,0.5,3.0,5.0
22,Atalanta,2021-09-11,P,-0.5,Fiorentina,4.5,-4.5,0.0,0.0,-24.5,18.0,-0.5,-2.5,-1.0,-1.0,-0.5,4.0,1.0
23,Milan,2021-09-12,V,-2.0,Lazio,2.0,-2.0,0.0,-0.5,-163.5,-151.0,2.0,-3.5,3.5,0.5,0.0,4.0,3.0
24,Roma,2021-09-12,V,2.0,Sassuolo,1.0,1.5,0.0,0.0,-6.0,-4.0,1.0,-2.0,0.0,0.5,0.5,3.0,1.0
25,Spezia,2021-09-12,P,-1.0,Udinese,-7.5,-4.5,-0.5,-0.5,-40.5,-43.0,-2.0,-4.5,0.5,1.0,0.5,1.0,7.0
26,Cagliari,2021-09-12,P,1.0,Genoa,5.0,0.5,0.5,0.5,46.5,56.0,4.0,11.0,1.0,1.5,0.0,2.0,5.0
27,Sampdoria,2021-09-12,N,-3.5,Inter,-3.0,-5.5,0.0,0.0,-178.0,-159.5,1.0,-15.0,4.0,1.0,0.0,1.0,7.0
28,Torino,2021-09-12,V,0.0,Salernitana,6.0,2.5,-0.5,-0.5,148.0,143.0,1.5,18.5,9.5,1.0,-0.5,8.0,0.0
29,Bologna,2021-09-13,V,0.0,Hellas Verona,0.0,2.0,-0.5,-0.5,110.0,140.5,0.5,15.0,2.0,3.0,0.5,5.0,0.0
30,Sassuolo,2021-09-17,P,-0.6666666666666667,Torino,3.333333333333334,2.0,0.0,0.0,151.66666666666669,131.00000000000006,1.0,8.666666666666664,-7.666666666666666,-0.6666666666666667,0.0,1.0,4.0
31,Salernitana,2021-09-18,P,-0.33333333333333337,Atalanta,-6.333333333333333,-1.3333333333333333,0.0,0.0,-256.0,-265.33333333333337,-2.333333333333333,-25.333333333333332,0.0,-0.33333333333333304,0.3333333333333333,0.0,8.0
32,Inter,2021-09-18,V,1.6666666666666667,Bologna,1.0,2.333333333333333,0.0,0.0,76.66666666666669,56.33333333333337,-1.333333333333334,2.6666666666666643,0.0,-1.6666666666666665,-0.6666666666666666,5.0,2.0
33,Genoa,2021-09-18,P,-0.3333333333333335,Fiorentina,0.6666666666666661,-1.3333333333333335,-0.6666666666666666,-0.6666666666666666,-55.0,-57.666666666666686,0.6666666666666665,-11.666666666666664,-1.9999999999999982,-1.0,-0.3333333333333333,1.0,1.0
34,Hellas Verona,2021-09-19,V,-2.0,Roma,-10.0,-5.666666666666667,0.3333333333333333,0.3333333333333333,-152.0,-143.66666666666669,-1.0,-9.333333333333336,5.333333333333332,0.33333333333333304,0.0,1.0,7.0
35,Juventus,2021-09-19,N,-1.3333333333333335,Milan,-3.666666666666666,0.3333333333333335,-0.3333333333333333,-0.6666666666666666,-46.333333333333314,-55.0,-1.333333333333333,-4.0,1.666666666666666,1.0,0.0,6.0,2.0
36,Venezia,2021-09-19,P,-0.33333333333333337,Spezia,-2.666666666666668,-0.33333333333333304,0.0,0.0,-5.333333333333314,-15.333333333333371,-1.3333333333333335,-2.0,5.333333333333334,3.0,-0.3333333333333333,0.0,2.0
37,Lazio,2021-09-19,N,1.3333333333333333,Cagliari,-0.6666666666666679,2.3333333333333335,-0.3333333333333333,0.0,152.0,133.33333333333337,-2.6666666666666665,4.333333333333336,-1.0,-1.3333333333333333,0.0,7.0,0.0
38,Empoli,2021-09-19,P,0.33333333333333337,Sampdoria,3.0000000000000018,1.6666666666666665,0.3333333333333333,0.3333333333333333,82.0,80.66666666666669,1.333333333333333,7.666666666666664,-5.0,-0.6666666666666665,0.0,1.0,7.0
