,home,date,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,completed_passings,total_passings,corners,percentage_possession,fouls,yellow_cards,red_cards
0,Inter,2021-08-21,V,4,Genoa,7.0,4.0,0,0,198.0,200.0,6.0,18.0,11.0,-1,0
1,Torino,2021-08-21,P,-1,Atalanta,14.0,5.0,0,0,-24.0,-49.0,4.0,-6.0,3.0,0,0
2,Empoli,2021-08-21,P,-2,Lazio,10.0,1.0,-1,-1,-107.0,-93.0,2.0,-8.0,5.0,1,0
3,Hellas Verona,2021-08-21,P,-1,Sassuolo,-4.0,-4.0,1,1,-199.0,-179.0,3.0,-20.0,-5.0,1,1
4,Bologna,2021-08-22,V,1,Salernitana,9.0,4.0,-1,-1,355.0,355.0,5.0,44.0,-3.0,3,1
5,Udinese,2021-08-22,N,0,Juventus,1.0,2.0,1,1,-117.0,-118.0,0.0,-12.0,-2.0,-2,0
6,Napoli,2021-08-22,V,2,Venezia,3.0,-1.0,1,2,125.0,132.0,0.0,12.0,-19.0,-6,1
7,Roma,2021-08-22,V,2,Fiorentina,0.0,-2.0,0,0,-164.0,-157.0,0.0,-16.0,-1.0,1,0
8,Sampdoria,2021-08-23,P,-1,Milan,5.0,-1.0,0,0,-15.0,-10.0,5.0,-2.0,5.0,2,0
9,Cagliari,2021-08-23,N,0,Spezia,7.0,2.0,1,1,134.0,163.0,7.0,18.0,-1.0,-1,0
10,Udinese,2021-08-27,V,3,Venezia,10.0,7.0,0,0,-104.0,-92.0,5.0,-10.0,4.0,-1,0
11,Hellas Verona,2021-08-27,P,-2,Inter,-8.0,-7.0,0,0,-108.0,-125.0,2.0,-14.0,2.0,0,0
12,Fiorentina,2021-08-28,V,1,Torino,4.0,5.0,0,0,127.0,135.0,0.0,18.0,-16.0,-1,0
13,Lazio,2021-08-28,V,5,Spezia,12.0,7.0,0,1,278.0,262.0,2.0,22.0,3.0,-2,-1
14,Atalanta,2021-08-28,N,0,Bologna,18.0,2.0,0,0,187.0,177.0,0.0,18.0,-4.0,-3,0
15,Juventus,2021-08-28,P,-1,Empoli,7.0,2.0,0,0,85.0,64.0,-1.0,8.0,7.0,-1,0
16,Salernitana,2021-08-29,P,-4,Roma,-23.0,-9.0,0,0,-550.0,-533.0,-9.0,-54.0,3.0,0,0
17,Milan,2021-08-29,V,3,Cagliari,10.0,2.0,1,1,136.0,139.0,5.0,14.0,3.0,-4,0
18,Sassuolo,2021-08-29,N,0,Sampdoria,8.0,3.0,0,0,268.0,256.0,2.0,26.0,-8.0,0,0
19,Genoa,2021-08-29,P,-1,Napoli,-7.0,-5.0,0,0,-222.0,-222.0,-1.0,-22.0,2.0,-1,0
20,Empoli,2021-09-11,P,-1,Venezia,11.0,2.0,1,1,300.0,332.0,6.0,38.0,-12.0,-3,0
21,Napoli,2021-09-11,V,1,Juventus,17.0,3.0,0,0,321.0,336.0,12.0,34.0,-1.0,1,0
22,Atalanta,2021-09-11,P,-1,Fiorentina,7.0,4.0,-1,-1,89.0,101.0,7.0,10.0,-8.0,0,0
23,Milan,2021-09-12,V,2,Lazio,12.0,-2.0,0,1,-72.0,-67.0,4.0,-6.0,-7.0,-3,0
24,Roma,2021-09-12,V,1,Sassuolo,4.0,-1.0,0,0,-25.0,-28.0,-2.0,-2.0,-4.0,1,0
25,Spezia,2021-09-12,P,-1,Udinese,11.0,1.0,0,0,100.0,115.0,-1.0,12.0,-5.0,-1,0
26,Cagliari,2021-09-12,P,-1,Genoa,-3.0,-1.0,1,1,40.0,59.0,-4.0,6.0,0.0,-1,0
27,Sampdoria,2021-09-12,N,0,Inter,6.0,-1.0,0,0,42.0,37.0,0.0,4.0,0.0,0,0
28,Torino,2021-09-12,V,4,Salernitana,7.0,3.0,0,0,190.0,177.0,3.0,20.0,0.0,-2,0
29,Bologna,2021-09-13,V,1,Hellas Verona,11.0,4.0,0,0,-136.0,-118.0,4.0,-14.0,-8.0,-2,0
30,Sassuolo,2021-09-17,P,-1,Torino,-8.0,-1.0,0,0,29.0,40.0,3.0,4.0,-15.0,-4,0
31,Salernitana,2021-09-18,P,-1,Atalanta,1.0,-2.0,0,0,-163.0,-142.0,2.0,-14.0,7.0,0,0
32,Inter,2021-09-18,V,5,Bologna,11.0,9.0,0,0,-74.0,-82.0,4.0,-8.0,0.0,-3,0
33,Genoa,2021-09-18,P,-1,Fiorentina,-8.0,-3.0,1,1,-243.0,-248.0,-10.0,-26.0,-3.0,0,0
34,Hellas Verona,2021-09-19,V,1,Roma,-5.0,4.0,0,0,73.0,58.0,-5.0,6.0,1.0,2,0
35,Juventus,2021-09-19,N,0,Milan,-4.0,1.0,0,0,-116.0,-115.0,0.0,-12.0,-1.0,0,0
36,Venezia,2021-09-19,P,-1,Spezia,2.0,0.0,0,0,-83.0,-97.0,-7.0,-10.0,4.0,3,0
37,Lazio,2021-09-19,N,0,Cagliari,18.0,7.0,0,0,448.0,452.0,9.0,44.0,-8.0,-2,-1
38,Empoli,2021-09-19,P,-3,Sampdoria,1.0,-4.0,0,0,55.0,56.0,0.0,6.0,-4.0,0,0
39,Udinese,2021-09-20,P,-4,Napoli,-9.0,-7.0,0,0,-272.0,-280.0,-3.0,-26.0,0.0,1,0
40,Atalanta,2021-09-21,V,1,Sassuolo,6.0,4.0,0,0,-33.0,-58.0,0.0,-6.0,3.0,0,0
41,Fiorentina,2021-09-21,P,-2,Inter,-3.0,1.0,0,0,52.0,58.0,-4.0,6.0,-4.0,-1,1
42,Bologna,2021-09-21,N,0,Genoa,6.0,-1.0,0,0,179.0,175.0,4.0,18.0,-4.0,-1,0
43,Spezia,2021-09-22,P,-1,Juventus,-16.0,-5.0,0,0,-165.0,-172.0,-10.0,-18.0,5.0,1,0
44,Cagliari,2021-09-22,P,-2,Empoli,-3.0,-4.0,0,0,-18.0,-10.0,3.0,-2.0,1.0,1,0
45,Milan,2021-09-22,V,2,Venezia,6.0,2.0,0,0,330.0,337.0,0.0,34.0,1.0,-2,0
46,Salernitana,2021-09-22,N,0,Hellas Verona,6.0,-1.0,0,0,-10.0,-3.0,-1.0,0.0,-6.0,-1,0
47,Sampdoria,2021-09-23,P,-4,Napoli,-4.0,-4.0,0,0,-67.0,-43.0,0.0,-4.0,3.0,1,0
48,Roma,2021-09-23,V,1,Udinese,4.0,0.0,0,0,34.0,33.0,0.0,4.0,15.0,3,1
49,Torino,2021-09-23,N,0,Lazio,11.0,4.0,-1,-1,-65.0,-83.0,1.0,-10.0,12.0,0,0
50,Inter,2021-09-25,N,0,Atalanta,-4.0,1.0,0,1,-14.0,1.0,-7.0,0.0,4.0,-2,0
51,Spezia,2021-09-25,P,-1,Milan,-10.0,-3.0,0,0,-219.0,-238.0,-2.0,-28.0,1.0,0,0
52,Genoa,2021-09-25,N,0,Hellas Verona,-1.0,-3.0,0,0,-7.0,-11.0,1.0,-2.0,0.0,2,0
53,Lazio,2021-09-26,V,1,Roma,-9.0,-2.0,-1,-1,-3.0,-6.0,-8.0,0.0,2.0,-2,0
54,Udinese,2021-09-26,P,-1,Fiorentina,5.0,4.0,-1,-1,-95.0,-93.0,3.0,-8.0,3.0,-1,0
55,Juventus,2021-09-26,V,1,Sampdoria,9.0,2.0,1,1,-4.0,-9.0,2.0,0.0,6.0,1,0
56,Napoli,2021-09-26,V,2,Cagliari,10.0,6.0,1,1,399.0,391.0,2.0,34.0,-2.0,1,0
57,Sassuolo,2021-09-26,V,1,Salernitana,5.0,2.0,0,0,132.0,120.0,-4.0,14.0,-1.0,0,0
58,Empoli,2021-09-26,V,2,Bologna,-6.0,1.0,1,0,-201.0,-201.0,-8.0,-26.0,-6.0,0,0
59,Venezia,2021-09-27,N,0,Torino,-2.0,-3.0,1,1,-117.0,-117.0,3.0,-12.0,-11.0,-3,-1
60,Cagliari,2021-10-01,N,0,Venezia,-3.0,-1.0,0,0,-145.0,-147.0,-2.0,-16.0,-4.0,-3,0
61,Sassuolo,2021-10-02,P,-1,Inter,-5.0,5.0,0,0,84.0,88.0,-2.0,10.0,-10.0,2,0
62,Torino,2021-10-02,P,-1,Juventus,3.0,-1.0,0,0,-39.0,-36.0,-2.0,-4.0,7.0,2,0
63,Salernitana,2021-10-02,V,1,Genoa,-8.0,1.0,0,0,-28.0,-8.0,1.0,0.0,1.0,0,0
64,Atalanta,2021-10-03,P,-1,Milan,3.0,-3.0,1,1,95.0,102.0,4.0,12.0,-3.0,-3,0
65,Sampdoria,2021-10-03,N,0,Udinese,-7.0,-5.0,1,1,71.0,68.0,-2.0,8.0,-5.0,-1,0
66,Hellas Verona,2021-10-03,V,4,Spezia,-6.0,0.0,0,0,-99.0,-97.0,-4.0,-10.0,5.0,0,-1
67,Roma,2021-10-03,V,2,Empoli,6.0,2.0,0,0,276.0,276.0,0.0,28.0,-4.0,-1,0
68,Bologna,2021-10-03,V,3,Lazio,2.0,-1.0,0,0,-192.0,-203.0,0.0,-18.0,-11.0,-3,-1
69,Fiorentina,2021-10-03,P,-1,Napoli,-1.0,-1.0,0,-1,80.0,93.0,6.0,10.0,5.0,0,0
70,Lazio,2021-10-16,V,2,Inter,7.0,4.0,0,0,63.0,41.0,4.0,4.0,1.0,-3,1
71,Spezia,2021-10-16,V,1,Salernitana,3.0,1.0,0,0,140.0,153.0,8.0,18.0,-1.0,-1,0
72,Milan,2021-10-16,V,1,Hellas Verona,7.0,-1.0,0,0,53.0,56.0,1.0,6.0,-10.0,-3,0
73,Napoli,2021-10-17,V,1,Torino,-1.0,-1.0,0,1,27.0,22.0,-1.0,2.0,-19.0,-2,0
74,Juventus,2021-10-17,V,1,Roma,-7.0,0.0,0,-1,-44.0,-56.0,-6.0,-6.0,5.0,-2,0
75,Udinese,2021-10-17,N,0,Bologna,-14.0,-9.0,0,0,-165.0,-156.0,-6.0,-18.0,5.0,-4,1
76,Cagliari,2021-10-17,V,2,Sampdoria,-5.0,2.0,0,0,-163.0,-178.0,-4.0,-22.0,-3.0,2,0
77,Genoa,2021-10-17,N,0,Sassuolo,4.0,-1.0,0,0,-156.0,-134.0,5.0,-14.0,-10.0,-1,0
78,Empoli,2021-10-17,P,-3,Atalanta,-8.0,-3.0,0,-1,-46.0,-31.0,1.0,-4.0,-6.0,1,0
79,Venezia,2021-10-18,V,1,Fiorentina,-7.0,-1.0,0,0,-241.0,-231.0,-3.0,-22.0,5.0,-3,-1
80,Sampdoria,2021-10-22,V,1,Spezia,-11.0,-5.0,0,0,-376.0,-398.0,-8.0,-40.0,1.0,2,0
81,Torino,2021-10-22,V,1,Genoa,3.0,2.0,0,0,141.0,137.0,-2.0,16.0,-5.0,-1,0
82,Salernitana,2021-10-23,P,-2,Empoli,3.0,1.0,-1,-1,158.0,166.0,5.0,18.0,-1.0,-2,0
83,Sassuolo,2021-10-23,V,2,Venezia,7.0,6.0,0,0,280.0,266.0,1.0,26.0,-3.0,-1,0
84,Bologna,2021-10-23,P,-2,Milan,-6.0,-3.0,0,0,-256.0,-254.0,3.0,-24.0,-8.0,-2,2
85,Inter,2021-10-24,N,0,Juventus,-5.0,-1.0,-1,-1,-36.0,-18.0,3.0,-2.0,-2.0,0,0
86,Roma,2021-10-24,N,0,Napoli,2.0,-1.0,0,0,-208.0,-216.0,3.0,-24.0,4.0,3,0
87,Fiorentina,2021-10-24,V,3,Cagliari,17.0,3.0,1,1,314.0,301.0,3.0,30.0,-4.0,-2,0
88,Atalanta,2021-10-24,N,0,Udinese,-1.0,0.0,0,0,343.0,350.0,3.0,34.0,-1.0,0,0
89,Hellas Verona,2021-10-24,V,3,Lazio,7.0,3.0,0,0,-12.0,-18.0,-1.0,-2.0,-2.0,0,0
90,Milan,2021-10-26,V,1,Torino,-3.0,0.0,0,0,-99.0,-107.0,-3.0,-12.0,-7.0,0,0
91,Spezia,2021-10-26,N,0,Genoa,5.0,2.0,-1,-1,-49.0,-57.0,0.0,-6.0,-2.0,-2,0
92,Venezia,2021-10-26,P,-1,Salernitana,-13.0,-3.0,0,0,-93.0,-94.0,-1.0,-10.0,3.0,0,1
93,Udinese,2021-10-27,N,0,Hellas Verona,12.0,4.0,-1,-1,-285.0,-278.0,3.0,-32.0,3.0,-1,0
94,Cagliari,2021-10-27,P,-1,Roma,-16.0,2.0,0,0,-138.0,-133.0,-8.0,-16.0,-1.0,-1,0
